date,observer,ID,time,bites,zigzag,trial_type,trial_set,trial_order
8/7/20,MM,CL19-F1C-A-2,1257,1,162,MF,1,1
8/8/20,MM,CL19-F1C-A-2,1200,0,169,F,1,2
8/9/20,MM,CL19-F1C-A-2,1025,0,0,C,1,3
8/10/20,MM,CL19-F1C-A-2,1255,17,140,M,1,4
8/11/20,MM,CL19-F1C-A-2,1230,11,191,F,2,1
8/12/20,MM,CL19-F1C-A-2,1140,0,16,C,2,2
8/13/20,MM,CL19-F1C-A-2,955,84,35,M,2,3
8/14/20,MM,CL19-F1C-A-2,1300,98,74,MF,2,4
8/8/02,MM,CL19-F1C-A-3,1255,22,55,M,1,1
8/6/20,MM,CL19-F1C-A-3,1310,0,0,C,1,2
8/7/20,MM,CL19-F1C-A-3,1317,88,61,MF,1,3
8/9/20,MM,CL19-F1C-A-3,1035,9,130,F,1,4
8/10/20,MM,CL19-F1C-A-3,1345,56,89,MF,2,1
8/11/20,MM,CL19-F1C-A-3,1310,52,54,M,2,2
8/12/20,MM,CL19-F1C-A-3,1150,7,144,F,2,3
8/13/20,MM,CL19-F1C-A-3,1055,1,0,C,2,4
8/16/20,MM,CL19-F1C-A-4,1315,107,5,MF,1,1
8/17/20,MM,CL19-F1C-A-4,1225,54,0,M,1,2
8/18/20,MM,CL19-F1C-A-4,1140,0,64,F,1,3
8/19/20,MM,CL19-F1C-A-4,1210,0,0,C,1,4
8/20/20,MM,CL19-F1C-A-4,1225,0,0,C,2,1
8/21/20,MM,CL19-F1C-A-4,1210,0,184,F,2,2
8/22/20,MM,CL19-F1C-A-4,1345,46,123,MF,2,3
8/23/30,MM,CL19-F1C-A-4,1145,27,86,M,2,4
8/17/20,MM,CL19-F1C-A-5,1235,118,1,M,1,1
8/18/20,MM,CL19-F1C-A-5,1230,53,69,MF,1,2
8/19/20,MM,CL19-F1C-A-5,1220,1,0,C,1,3
8/20/20,MM,CL19-F1C-A-5,1310,0,201,F,1,4
8/21/20,MM,CL19-F1C-A-5,1255,71,147,MF,2,1
8/22/20,MM,CL19-F1C-A-5,1315,1,212,F,2,2
8/23/20,MM,CL19-F1C-A-5,1120,0,46,C,2,3
8/24/20,MM,CL19-F1C-A-5,1130,84,75,M,2,4
8/24/20,MM,CL19-F1C-A-6,1120,87,0,M,1,1
8/25/20,MM,CL19-F1C-A-6,1255,109,86,MF,1,2
8/26/20,MM,CL19-F1C-A-6,1130,0,0,C,1,3
8/27/20,MM,CL19-F1C-A-6,1150,5,207,F,1,4
8/28/20,MM,CL19-F1C-A-6,1120,2,4,C,2,1
8/29/20,MM,CL19-F1C-A-6,1310,0,206,F,2,2
8/30/20,MM,CL19-F1C-A-6,1230,159,63,MF,2,3
8/31/20,MM,CL19-F1C-A-6,1132,103,62,M,2,4
8/17/20,MM,CL19-F1D-A-2,1250,123,76,MF,1,1
8/18/20,MM,CL19-F1D-A-2,1150,12,200,F,1,2
8/19/20,MM,CL19-F1D-A-2,1255,135,17,M,1,3
8/20/20,MM,CL19-F1D-A-2,1235,0,2,C,1,4
8/21/20,MM,CL19-F1D-A-2,1220,7,215,F,2,1
8/22/20,MM,CL19-F1D-A-2,1255,0,13,C,2,2
8/23/20,MM,CL19-F1D-A-2,1135,59,11,M,2,3
8/24/20,MM,CL19-F1D-A-2,1150,77,86,MF,2,4
8/6/20,MM,CL19-F1G-A-2,1315,29,0,M,1,1
8/7/20,MM,CL19-F1G-A-2,1157,0,0,C,1,2
8/8/20,MM,CL19-F1G-A-2,1215,0,69,F,1,3
8/9/20,MM,CL19-F1G-A-2,1125,9,78,MF,1,4
8/10/20,MM,CL19-F1G-A-2,1310,19,62,M,2,1
8/11/20,MM,CL19-F1G-A-2,1215,0,1,C,2,2
8/12/20,MM,CL19-F1G-A-2,1205,0,116,F,2,3
8/13/20,MM,CL19-F1G-A-2,1035,59,55,MF,2,4
8/7/20,MM,CL19-F1H-A-1,1425,0,105,F,1,1
8/8/20,MM,CL19-F1H-A-1,1135,0,0,C,1,2
8/9/20,MM,CL19-F1H-A-1,1145,30,68,MF,1,3
8/10/20,MM,CL19-F1H-A-1,1240,90,0,M,1,4
8/11/20,MM,CL19-F1H-A-1,1340,117,44,MF,2,1
8/12/20,MM,CL19-F1H-A-1,1235,61,32,M,2,2
8/13/20,MM,CL19-F1H-A-1,1005,2,88,F,2,3
8/14/20,MM,CL19-F1H-A-1,1315,3,0,C,2,4
8/5/20,MM,CL19-F1J-A-1,1245,94,27,MF,1,1
8/7/20,MM,CL19-F1J-A-1,1209,25,24,M,1,2
8/8/20,MM,CL19-F1J-A-1,1145,1,7,C,1,3
8/9/20,MM,CL19-F1J-A-1,1045,0,87,F,1,4
8/10/20,MM,CL19-F1J-A-1,1220,0,133,F,2,1
8/11/20,MM,CL19-F1J-A-1,1355,68,111,MF,2,2
8/12/20,MM,CL19-F1J-A-1,1250,33,104,M,2,3
8/13/20,MM,CL19-F1J-A-1,1045,0,25,C,2,4
8/5/20,MM,CL19-F1J-A-2,1138,0,0,C,1,1
8/6/20,MM,CL19-F1J-A-2,1350,0,80,F,1,2
8/7/20,MM,CL19-F1J-A-2,1340,25,55,MF,1,3
8/8/20,MM,CL19-F1J-A-2,1310,102,7,M,1,4
8/9/20,MM,CL19-F1J-A-2,1015,13,11,C,2,1
8/10/20,MM,CL19-F1J-A-2,1400,123,44,MF,2,2
8/11/20,MM,CL19-F1J-A-2,1325,83,8,M,2,3
8/12/20,MM,CL19-F1J-A-2,1320,5,177,F,2,4
8/5/20,MM,CL19-F1J-A-3,1155,0,50,M,1,1
8/6/20,MM,CL19-F1J-A-3,1300,0,0,C,1,2
8/7/20,MM,CL19-F1J-A-3,1410,0,102,MF,1,3
8/8/20,MM,CL19-F1J-A-3,1230,0,73,F,1,4
8/9/20,MM,CL19-F1J-A-3,1110,0,154,MF,2,1
8/10/20,MM,CL19-F1J-A-3,1210,0,3,C,2,2
8/11/20,MM,CL19-F1J-A-3,1240,11,180,F,2,3
